query_id,tier,query,C1_prr,C2_before,C2_after,C2_disc,C3_prr,C4_before,C4_after,C4_disc
Q25,two-fact,Which Munich e-commerce scaleup founded in 2015 with 51-100 employees focuses on,0%,0%,0%,100%,0%,0%,0%,100%
Q26,two-fact,Which Austrian cleantech scaleup founded in 2018 in Freistadt has grown to more ,0%,0%,0%,100%,0%,0%,0%,100%
Q27,two-fact,Which Swiss startup founded in 2023 in Neuchâtel with fewer than 10 employees fo,100%,100%,0%,0%,0%,100%,0%,0%
Q28,two-fact,Which Austrian proptech startup founded in 2018 in Wattens focuses on real estat,0%,0%,0%,100%,0%,0%,0%,100%
Q29,two-fact,Which Swiss AI and data analytics startup in Zürich was founded in 2023 and focu,0%,0%,0%,100%,0%,0%,0%,100%
Q30,two-fact,Which German foodtech startup in Munich founded in 2021 focuses on organic B2B f,0%,0%,0%,100%,0%,0%,0%,100%
Q31,two-fact,Which Swiss cleantech scaleup with 51-100 employees founded in 2016 focuses on w,0%,0%,0%,100%,0%,0%,0%,100%
Q32,two-fact,Which Austrian cleantech startup with 11-50 employees founded in 2018 in Vienna ,0%,0%,0%,100%,0%,0%,0%,100%
Q33,two-fact,Which Zurich-based Swiss cybersecurity corporate founded in 2011 has between 500,0%,100%,0%,0%,0%,0%,0%,0%
Q34,two-fact,Which German Munich-based proptech startup was founded in 2024 and focuses on re,100%,0%,0%,100%,0%,0%,0%,100%
Q35,two-fact,Which Swiss startup in Montreux founded in 2025 focuses on HR or people manageme,0%,0%,0%,0%,0%,0%,0%,0%
Q36,two-fact,Which Austrian cybersecurity startup in Graz was founded in 2024 and offers trai,0%,0%,0%,100%,0%,0%,0%,100%
Q37,two-fact,Which Swiss B2B SaaS startup in Lausanne founded in 2022 focuses on mobility and,100%,100%,100%,0%,0%,50%,100%,50%
Q38,two-fact,Which German Berlin-based B2B SaaS SME founded in 2014 with 51-200 employees wor,100%,0%,0%,100%,0%,0%,0%,0%
Q39,two-fact,Which Austrian scaleup in Vienna with more than 450 employees founded in 2016 op,0%,0%,0%,100%,0%,0%,0%,100%
Q40,two-fact,Which Swiss cleantech startup in Lausanne founded in 2025 focuses on wind energy,0%,0%,0%,100%,0%,100%,0%,0%
Q41,three-fact,Which Austrian startup with between 21 and 50 employees founded in 2017 in Linz ,0%,0%,0%,100%,0%,0%,0%,100%
Q42,three-fact,Which Swiss scaleup with 51-100 employees founded in 2015 in Zürich provides sof,100%,0%,0%,100%,100%,100%,100%,0%
Q43,three-fact,Which German Berlin startup with 1-10 employees founded in 2017 offers legaltech,100%,0%,0%,0%,0%,0%,0%,100%
Q44,three-fact,Which Austrian data privacy scaleup founded in 2018 with operations in Germany ,0%,0%,0%,100%,0%,0%,0%,100%
Q45,three-fact,Which Swiss AI and SaaS startup in Lausanne with fewer than 10 employees founded,50%,100%,0%,0%,100%,0%,0%,0%
Q46,three-fact,Which Swiss healthtech startup in Zürich with 11-50 employees co-founded by Dori,0%,0%,0%,100%,0%,0%,0%,100%
Q47,three-fact,Which Austrian cleantech scaleup with 150-250 employees founded in 2018 operates,0%,0%,0%,100%,0%,0%,0%,100%
Q48,three-fact,Which Austrian fintech startup with 11-50 employees founded in 2021 in Linz has ,0%,0%,0%,100%,0%,0%,0%,100%
Q49,three-fact,Which German Munich e-commerce scaleup with 51-100 employees founded by Darius A,0%,0%,0%,100%,0%,0%,0%,100%
Q50,three-fact,Which Swiss proptech SME in Zürich co-founded by Florian Ruegg and Marco Kobelt ,0%,0%,0%,100%,100%,0%,0%,100%

AVERAGES
C1,23.0%,23.0%,+0.0%,0.0%
C2,24.0%,16.0%,-8.0%,100.0%
C3,7.0%,7.0%,+0.0%,0.0%
C4,14.0%,5.0%,-9.0%,97.0%
